TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_2282,BRANCH;EXCEPTION,0.8235294117647058,20,14
com.example.task_evaluated.task_17304,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_10024,BRANCH;EXCEPTION,0.9,7,6
com.example.task_evaluated.task_34468,BRANCH;EXCEPTION,0.8846153846153846,13,10
com.example.task_evaluated.task_18421,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_17219,BRANCH;EXCEPTION,0.7142857142857143,9,5
com.example.task_evaluated.task_17670,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_6190,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_32569,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_8000,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_2900,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_35927,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_36212,BRANCH;EXCEPTION,0.9285714285714286,9,8
com.example.task_evaluated.task_2456,BRANCH;EXCEPTION,1.0,24,24
com.example.task_evaluated.task_15890,BRANCH;EXCEPTION,0.6,6,2
com.example.task_evaluated.task_4432,BRANCH;EXCEPTION,0.6363636363636364,12,4
com.example.task_evaluated.task_6784,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_8528,BRANCH;EXCEPTION,0.8333333333333333,18,13
com.example.task_evaluated.task_31606,BRANCH;EXCEPTION,0.8333333333333333,7,6
com.example.task_evaluated.task_7520,BRANCH;EXCEPTION,0.5909090909090909,12,3
com.example.task_evaluated.task_17654,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_27544,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_8263,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_11557,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_34342,BRANCH;EXCEPTION,0.8974358974358974,40,32
com.example.task_evaluated.task_31660,BRANCH;EXCEPTION,0.7307692307692308,16,9
com.example.task_evaluated.task_9082,BRANCH;EXCEPTION,1.0,16,16
com.example.task_evaluated.task_9792,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_13395,BRANCH;EXCEPTION,1.0,19,19
com.example.task_evaluated.task_30933,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_7157,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_15048,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_3101,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_16881,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_15798,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_15464,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_20442,BRANCH;EXCEPTION,1.0,9,9
